Sat Jul 30 22:16:00 2022    output.dat

         4156758 function calls (3123299 primitive calls) in 14.951 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      335    0.001    0.000    0.001    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1144(__init__)
       65    0.001    0.000    0.053    0.001 <frozen importlib._bootstrap_external>:950(get_code)
       81    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:165(__init__)
     1547    0.001    0.000    0.001    0.000 {method 'get_fps' of 'Clock' objects}
     5707    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
        1    0.001    0.001    0.266    0.266 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pygame\sysfont.py:379(font_constructor)
      717    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x00007FF86D776CD0}
     81/2    0.001    0.000    0.269    0.134 <frozen importlib._bootstrap>:1022(_find_and_load)
     2706    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
      852    0.001    0.000    0.002    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\typing.py:986(__setattr__)
     2578    0.001    0.000    0.002    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\sre_parse.py:249(match)
      391    0.001    0.000    0.002    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\genericpath.py:121(_splitext)
      722    0.001    0.000    0.005    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\__init__.py:2087(dist_factory)
      471    0.001    0.000    0.002    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\copy.py:259(_reconstruct)
       97    0.001    0.000    0.062    0.001 C:\Users\Babaji\miniconda3\envs\Boids\lib\re.py:288(_compile)
     3217    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     1547    0.001    0.000    0.001    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\numpy\core\multiarray.py:1071(copyto)
     3043    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
      130    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
      663    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:119(<listcomp>)
      217    0.001    0.000    0.001    0.000 {method 'search' of 're.Pattern' objects}
       34    0.001    0.000    0.010    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\__init__.py:2072(<genexpr>)
     1140    0.001    0.000    0.001    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\sre_parse.py:172(append)
     4984    0.001    0.000    0.001    0.000 {built-in method nt.fspath}
     1547    0.001    0.000    0.001    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\numpy\lib\index_tricks.py:775(_fill_diagonal_dispatcher)
       98    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:125(release)
    111/5    0.001    0.000    0.002    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3319(streamline)
     1698    0.001    0.000    0.001    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\sre_parse.py:160(__len__)
      147    0.001    0.000    0.001    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\typing.py:146(_type_check)
      391    0.001    0.000    0.003    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\ntpath.py:203(splitext)
        6    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
     1437    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
     1768    0.001    0.000    0.001    0.000 {built-in method builtins.min}
      301    0.001    0.000    0.001    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\sre_compile.py:249(_compile_charset)
      829    0.001    0.000    0.001    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\sre_parse.py:111(__init__)
     76/2    0.001    0.000    0.268    0.134 <frozen importlib._bootstrap>:664(_load_unlocked)
      471    0.001    0.000    0.005    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1167(copy)
